Date,USD,EUR,RUB
01/01/2023,0.82506,0.88414,0.01120259
02/01/2023,0.82899,0.88473,0.01063702
03/01/2023,0.83544,0.88089,0.01143395
04/01/2023,0.82939,0.87947,0.0114362
05/01/2023,0.83947,0.88324,0.01162638
06/01/2023,0.8268563,0.8802,0.01141118
07/01/2023,0.8268563,0.8803,0.01140035
08/01/2023,0.82533,0.87944,0.01140035
09/01/2023,0.82069,0.88065,0.01173138
10/01/2023,0.82274,0.88348,0.01180247
11/01/2023,0.8224,0.88529,0.01189705
12/01/2023,0.81848,0.88883,0.01207173
13/01/2023,0.8175278,0.8873,0.01183965
14/01/2023,0.8175278,0.8868,0.01238123
15/01/2023,0.81788,0.88527,0.01238123
16/01/2023,0.81915,0.88709,0.01191641
17/01/2023,0.81402,0.8782,0.01187444
18/01/2023,0.80987,0.87443,0.01177524
19/01/2023,0.80689,0.87412,0.01162166
20/01/2023,0.8071025,0.8783,0.0116624
21/01/2023,0.8071025,0.8784,0.01182057
22/01/2023,0.80604,0.87569,0.01182057
23/01/2023,0.80777,0.87813,0.01170492
24/01/2023,0.81108,0.88286,0.01168195
25/01/2023,0.80564,0.87986,0.01167328
26/01/2023,0.80546,0.87739,0.01159128
27/01/2023,0.8075374,0.878,0.0114107
28/01/2023,0.807624,0.8774,0.01141409
29/01/2023,0.8064321,0.87666,0.01141409
30/01/2023,0.80948,0.87851,0.01155597
31/01/2023,0.81242,0.88232,0.01149816
01/02/2023,0.8071,0.889,0.01154852
02/02/2023,0.8181298,0.89206,0.01089253
03/02/2023,0.8299444,0.8985,0.01173927
04/02/2023,0.8294625,0.8966,0.01174242
05/02/2023,0.83021,0.89582,0.01174242
06/02/2023,0.83148,0.89202,0.01162641
07/02/2023,0.82956,0.89003,0.01150229
08/02/2023,0.8284,0.88756,0.01130152
09/02/2023,0.8253,0.8866,0.01129141
10/02/2023,0.8288438,0.8869,0.011232
11/02/2023,0.8288438,0.8865,0.01133246
12/02/2023,0.82972,0.88589,0.01133246
13/02/2023,0.8229,0.88294,0.01111029
14/02/2023,0.8214,0.88177,0.01116969
15/02/2023,0.83058,0.88812,0.0112251
16/02/2023,0.83505,0.89059,0.01115292
17/02/2023,0.83022,0.89,0.01121969
18/02/2023,0.83022,0.8896,0.01121482
19/02/2023,0.83127,0.88811,0.01121482
20/02/2023,0.83062,0.88718,0.01099439
21/02/2023,0.82581,0.8796,0.01105206
22/02/2023,0.82988,0.88027,0.01107573
23/02/2023,0.8321,0.8818,0.01103042
24/02/2023,0.8371003,0.886,0.01100302
25/02/2023,0.8369602,0.8856,0.01100816
26/02/2023,0.83665,0.88299,0.01100816
27/02/2023,0.82908,0.87954,0.01109861
28/02/2023,0.83101,0.87883,0.01106772
01/03/2023,0.83126,0.88699,0.01104183
02/03/2023,0.83671,0.88685,0.01107736
03/03/2023,0.8308028,0.8857,0.01100749
04/03/2023,0.8308408,0.8858,0.01101491
05/03/2023,0.83136,0.88335,0.01101491
06/03/2023,0.8315,0.88829,0.01102413
07/03/2023,0.84547,0.89172,0.01117961
08/03/2023,0.84387,0.89018,0.01110271
09/03/2023,0.83875,0.88773,0.01105541
10/03/2023,0.8309098,0.8889,0.01090313
11/03/2023,0.8309098,0.8667,0.01090023
12/03/2023,0.82786,0.88441,0.01090023
13/03/2023,0.8216,0.88113,0.0108626
14/03/2023,0.8229,0.88275,0.01083895
15/03/2023,0.82855,0.87661,0.01097311
16/03/2023,0.82573,0.87628,0.01079245
17/03/2023,0.8208159,0.8854,0.01066881
18/03/2023,0.8210855,0.885,0.01066151
19/03/2023,0.8205,0.87613,0.01066151
20/03/2023,0.81458,0.87322,0.01050377
21/03/2023,0.81799,0.88101,0.01061073
22/03/2023,0.81435,0.88507,0.01059278
23/03/2023,0.81423,0.88192,0.01068587
24/03/2023,0.8177952,0.8795,0.01057667
25/03/2023,0.8177952,0.882,0.01057831
26/03/2023,0.8165932,0.88009,0.01055862
27/03/2023,0.81317,0.87818,0.01063184
28/03/2023,0.811,0.87938,0.01057837
29/03/2023,0.81211,0.88064,0.01049703
30/03/2023,0.80728,0.88024,0.01044807
31/03/2023,0.8100446,0.8805,0.01039335
01/04/2023,0.8099789,0.8805,0.01039335
02/04/2023,0.81387,0.87916,0.01041834
03/04/2023,0.80495,0.87805,0.01023511
04/04/2023,0.8001,0.87661,0.01008269
05/04/2023,0.80237,0.87483,0.0100091
06/04/2023,0.8039231,0.87787,0.009895365
07/04/2023,0.8050233,0.87779,0.009923821
08/04/2023,0.8050233,0.8851,0.009923821
09/04/2023,0.8044,0.87781,0.00992038
10/04/2023,0.80696,0.87703,0.009884938
11/04/2023,0.80444,0.87813,0.00992001
12/04/2023,0.80047,0.88025,0.009756594
13/04/2023,0.7983841,0.88223,0.009769988
14/04/2023,0.8048,0.895,0.0098713
15/04/2023,0.8048938,0.8949,0.0098713
16/04/2023,0.80644,0.88575,0.009881106
17/04/2023,0.80805,0.88274,0.009842846
18/04/2023,0.8048,0.88317,0.009833445
19/04/2023,0.80458,0.88113,0.009836056
20/04/2023,0.8038,0.88144,0.009820187
21/04/2023,0.8041,0.8924,0.009865374
22/04/2023,0.8041171,0.8924,0.009865374
23/04/2023,0.80323,0.88297,0.009857274
24/04/2023,0.8,0.8846,0.009825831
25/04/2023,0.80549,0.88415,0.009961551
26/04/2023,0.80183,0.88563,0.009799597
27/04/2023,0.80016,0.88268,0.009775295
28/04/2023,0.7956082,0.8884,0.009886936
29/04/2023,0.7951654,0.8883,0.009886936
30/04/2023,0.79633,0.87678,0.009890042
01/05/2023,0.8009,0.87852,0.009912306
02/05/2023,0.8015,0.88247,0.01000287
03/05/2023,0.79561,0.8806,0.01000817
04/05/2023,0.7947,0.8761,0.01012861
05/05/2023,0.7911392,0.887,0.01016316
06/05/2023,0.7911392,0.8869,0.01016316
07/05/2023,0.79173,0.87233,0.01017034
08/05/2023,0.79285,0.87177,0.01019329
09/05/2023,0.7921,0.86844,0.01014865
