Date,USD,EUR,RUB
01/01/2024,0.78562,0.86707,0.008799574
02/01/2024,0.7922,0.86677,0.00875753
03/01/2024,0.789,0.86201,0.008593361
04/01/2024,0.78839,0.86303,0.00862844
05/01/2024,0.7857929,0.8609,0.008643324
06/01/2024,0.7857929,0.8604,0.008643324
07/01/2024,0.7862995,0.86032,0.008643324
08/01/2024,0.78461,0.85921,0.008622594
09/01/2024,0.7866,0.85996,0.008622594
10/01/2024,0.78461,0.86101,0.008736959
11/01/2024,0.78261,0.85939,0.008736959
12/01/2024,0.7843137,0.86,0.008736959
13/01/2024,0.7844983,0.8599,0.008736959
14/01/2024,0.78514,0.85933,0.008736959
15/01/2024,0.7864,0.86061,0.008982
16/01/2024,0.79123,0.86072,0.008993805
17/01/2024,0.78884,0.85862,0.00889859
18/01/2024,0.78679,0.8559,0.008892781
19/01/2024,0.7870917,0.8589,0.008828153
20/01/2024,0.7870917,0.8584,0.008828153
21/01/2024,0.78741,0.85766,0.008828153
22/01/2024,0.78697,0.85601,0.008939893
23/01/2024,0.7879,0.85531,0.008869993
24/01/2024,0.78624,0.85552,0.00885695
25/01/2024,0.78689,0.8535,0.0087
26/01/2024,0.7867821,0.8546,0.008827548
27/01/2024,0.7867821,0.8541,0.008827548
28/01/2024,0.78755,0.85392,0.008827548
29/01/2024,0.78658,0.8521,0.00881047
30/01/2024,0.78768,0.85403,0.008782977
31/01/2024,0.78874,0.8521,0.008748028
01/02/2024,0.78448,0.85307,0.00868412
02/02/2024,0.7915776,0.8553,0.008703801
03/02/2024,0.791515,0.8553,0.008703801
04/02/2024,0.791515,0.85405,0.008703801
05/02/2024,0.7978,0.85694,0.008773127
06/02/2024,0.79324,0.85333,0.008765323
07/02/2024,0.79193,0.85302,0.008744119
08/02/2024,0.79236,0.85389,0.008691633
09/02/2024,0.7922,0.84905,0.008663129
10/02/2024,0.7917656,0.85065,0.008663129
11/02/2024,0.79131,0.85444,0.008663129
12/02/2024,0.79192,0.85296,0.008666958
13/02/2024,0.79424,0.85041,0.008685642
14/02/2024,0.79565,0.85386,0.008684868
15/02/2024,0.7937,0.8551,0.00860169
16/02/2024,0.7934619,0.84736,0.00860169
17/02/2024,0.7934619,0.85016,0.00860169
18/02/2024,0.79295,0.85516,0.00860169
19/02/2024,0.79443,0.856,0.0085889
20/02/2024,0.79193,0.85617,0.008556696
21/02/2024,0.79126,0.85613,0.008603564
22/02/2024,0.78966,0.85482,0.008485334
23/02/2024,0.7886435,0.8544,0.008476308
24/02/2024,0.7886435,0.8539,0.008476308
25/02/2024,0.7892,0.85377,0.008476308
26/02/2024,0.78836,0.85534,0.008582409
27/02/2024,0.78854,0.85481,0.008567239
28/02/2024,0.7897,0.85602,0.008567239
29/02/2024,0.79205,0.85575,0.008659491
01/03/2024,0.7900142,0.8573,0.008659491
02/03/2024,0.7900142,0.8568,0.008659491
03/03/2024,0.78987,0.85638,0.008659491
04/03/2024,0.7879,0.85529,0.008621372
05/03/2024,0.7871,0.85444,0.008650229
06/03/2024,0.78521,0.85578,0.008650407
07/03/2024,0.7803,0.85445,0.008606282
08/03/2024,0.7778469,0.8511,0.008550197
09/03/2024,0.7776654,0.8514,0.008550197
10/03/2024,0.7779,0.85123,0.008550197
11/03/2024,0.7800434,0.85261,0.008590879
12/03/2024,0.7815,0.85392,0.008533842
13/03/2024,0.78112,0.85555,0.008549185
14/03/2024,0.78457,0.85385,0.008588139
15/03/2024,0.7852992,0.856,0.00848309
16/03/2024,0.7854226,0.8559,0.00848309
17/03/2024,0.78546,0.85476,0.00848309
18/03/2024,0.78572,0.85422,0.008588956
19/03/2024,0.7862,0.85401,0.008601028
20/03/2024,0.78135,0.85441,0.00850676
21/03/2024,0.78977,0.8578,0.00850676
22/03/2024,0.7935248,0.8622,0.008617906
23/03/2024,0.7935248,0.8621,0.008617906
24/03/2024,0.79378,0.85785,0.008617906
25/03/2024,0.79127,0.85757,0.008549922
26/03/2024,0.79186,0.8578,0.008560865
27/03/2024,0.7926,0.85698,0.008559593
28/03/2024,0.792,0.85479,0.008557214
29/03/2024,0.7919537,0.8558,0.008552416
30/03/2024,0.7919537,0.8548,0.008552416
31/03/2024,0.79131,0.85401,0.008552416
01/04/2024,0.7971,0.85574,0.008637053
02/04/2024,0.79511,0.85618,0.008626327
03/04/2024,0.7904,0.85664,0.008549081
04/04/2024,0.7911267,0.8572,0.008528216
05/04/2024,0.7911392,0.8584,0.008550491
06/04/2024,0.7912018,0.8583,0.008550491
07/04/2024,0.79206,0.85782,0.008550491
08/04/2024,0.78997,0.85806,0.008528764
09/04/2024,0.78879,0.85644,0.008496502
10/04/2024,0.7976,0.8568,0.008590679
11/04/2024,0.79651,0.85434,0.008590679
12/04/2024,0.8026971,0.8566,0.008605249
13/04/2024,0.8026971,0.8561,0.008605249
14/04/2024,0.80245,0.8544,0.008605249
15/04/2024,0.80338,0.85362,0.008587681
16/04/2024,0.80444,0.8544,0.008542375
17/04/2024,0.80444,0.85669,0.008542375
18/04/2024,0.80401,0.85582,0.008499154
19/04/2024,0.8084421,0.8623,0.008536458
20/04/2024,0.8084074,0.8618,0.008536458
21/04/2024,0.80803,0.8612,0.008536458
22/04/2024,0.8097,0.8626,0.008705987
23/04/2024,0.803,0.85942,0.00854874
24/04/2024,0.8026,0.85871,0.008538641
25/04/2024,0.79942,0.8576,0.008538641
26/04/2024,0.8007046,0.8563,0.008538641
27/04/2024,0.7912018,0.8558,0.008538641
28/04/2024,0.79933,0.8559,0.008660852
29/04/2024,0.79619,0.85314,0.008525257
30/04/2024,0.80063,0.85397,0.008542487
01/05/2024,0.79749,0.85474,0.008515518
02/05/2024,0.79741,0.85551,0.008528477
03/05/2024,0.7968762,0.8583,0.008608582
04/05/2024,0.7968762,0.8582,0.008608582
05/05/2024,0.79738,0.8578,0.008608582
06/05/2024,0.79619,0.85727,0.008739188
07/05/2024,0.79991,0.85992,0.008738992
08/05/2024,0.80043,0.86016,0.00873254
09/05/2024,0.79836,0.86078,0.00873254
10/05/2024,0.7984032,0.8612,0.00873254
11/05/2024,0.801539,0.8611,0.00873254
12/05/2024,0.79854,0.86003,0.008715408
13/05/2024,0.79606,0.8592,0.0086929752
14/05/2024,0.79458,0.85928,0.00869699
15/05/2024,0.78802,0.85799,0.008689879
16/05/2024,0.7891414,0.85761,0.00869594
17/05/2024,0.7872156,0.8572,0.008663733
18/05/2024,0.7895152,0.8567,0.008663733
19/05/2024,0.787,0.85567,0.008663733
20/05/2024,0.787,0.85444,0.008711106
21/05/2024,0.7867,0.85394,0.008710372
22/05/2024,0.7861,0.85096,0.008716994
23/05/2024,0.78777,0.85172,0.008598166
24/05/2024,0.7848062,0.8518,0.008598166
25/05/2024,0.7895152,0.8516,0.008598166
26/05/2024,0.78517,0.8517,0.008598166
27/05/2024,0.78294,0.85029,0.008569792
28/05/2024,0.7838,0.85054,0.0088439
29/05/2024,0.7875256,0.85065,0.008787253
30/05/2024,0.78552,0.85088,0.008702
31/05/2024,0.7851,0.8522,0.008702
01/06/2024,0.7850526,0.8521,0.008702
02/06/2024,0.7847,0.85153,0.008702
03/06/2024,0.78063,0.8514,0.008641791
04/06/2024,0.7829,0.85195,0.008785073
05/06/2024,0.78157,0.84989,0.008777
06/06/2024,0.78166,0.85139,0.00875127
07/06/2024,0.785546,0.8495,0.008822133
08/06/2024,0.7872776,0.849,0.008713434
09/06/2024,0.78558,0.84673,0.008662606
10/06/2024,0.78577,0.84574,0.008841239
11/06/2024,0.7849,0.8429,0.0087945
