Date,USD,EUR,RUB
01/01/2021,0.7313149,0.88442,0.009886752
02/01/2021,0.7313149,0.88442,0.009886752
03/01/2021,0.73077,0.89517,0.009860668
04/01/2021,0.7368328,0.9026,0.009885519
05/01/2021,0.7337,0.90241,0.009892177
06/01/2021,0.73393,0.90558,0.009896914
07/01/2021,0.73694,0.90416,0.00987081
08/01/2021,0.73714,0.899,0.009944265
09/01/2021,0.7370826,0.9013,0.009944265
10/01/2021,0.73985,0.90153,0.009902429
11/01/2021,0.73942,0.8991,0.009899917
12/01/2021,0.7315,0.89308,0.009953653
13/01/2021,0.73264,0.891,0.009911741
14/01/2021,0.7308,0.88796,0.009958676
15/01/2021,0.7359381,0.8891,0.01000824
16/01/2021,0.7358352,0.889,0.01000824
17/01/2021,0.73663,0.88892,0.0100011
18/01/2021,0.73631,0.88927,0.00995023
19/01/2021,0.73291,0.8896,0.009925854
20/01/2021,0.73161,0.88635,0.009951186
21/01/2021,0.72836,0.88601,0.009841227
22/01/2021,0.7308339,0.88362,0.009704886
23/01/2021,0.7308339,0.88362,0.009704886
24/01/2021,0.7305562,0.88894,0.009700783
25/01/2021,0.7310476,0.888,0.009702451
26/01/2021,0.72772,0.88509,0.009685241
27/01/2021,0.73156,0.88538,0.009633819
28/01/2021,0.7285974,0.8831,0.009557483
29/01/2021,0.7291819,0.87868,0.009601921
30/01/2021,0.7296075,0.87918,0.00959681
31/01/2021,0.73005,0.88504,0.009612544
01/02/2021,0.73106,0.88233,0.009597013
02/02/2021,0.7321,0.88123,0.009594642
03/02/2021,0.73265,0.8823,0.009645131
04/02/2021,0.7312,0.87495,0.009678245
05/02/2021,0.727908,0.87334,0.009748354
06/02/2021,0.727908,0.87334,0.009748354
07/02/2021,0.72787,0.87695,0.009768709
08/02/2021,0.7275,0.87676,0.009779831
09/02/2021,0.7236937,0.87691,0.009788064
10/02/2021,0.72293,0.87607,0.009778661
11/02/2021,0.7241,0.87817,0.009824445
12/02/2021,0.7223,0.8753,0.009804538
13/02/2021,0.7223868,0.8754,0.009804184
14/02/2021,0.7209,0.87388,0.009790381
15/02/2021,0.71866,0.8719,0.009791354
16/02/2021,0.72004,0.8705,0.009782222
17/02/2021,0.72117,0.86867,0.009774319
18/02/2021,0.71595,0.86565,0.009687459
19/02/2021,0.7138268,0.85898,0.009636106
20/02/2021,0.7133685,0.85958,0.009636106
21/02/2021,0.7127,0.8642,0.009621332
22/02/2021,0.71067,0.86458,0.009566119
23/02/2021,0.7082,0.8607,0.009552972
24/02/2021,0.7068,0.8602,0.009608549
25/02/2021,0.71387,0.8679,0.00954721
26/02/2021,0.7178751,0.86262,0.009622268
27/02/2021,0.7178751,0.86262,0.009622268
28/02/2021,0.71569,0.86517,0.009604372
01/03/2021,0.7179,0.86477,0.009660596
02/03/2021,0.71659,0.86599,0.009702703
03/03/2021,0.71803,0.86523,0.009692337
04/03/2021,0.71973,0.86131,0.009645628
05/03/2021,0.7225434,0.86068,0.009715367
06/03/2021,0.7225434,0.86068,0.009715367
07/03/2021,0.72183,0.86079,0.009717273
08/03/2021,0.7234,0.85731,0.009703453
09/03/2021,0.71992,0.8566,0.0097168
10/03/2021,0.7178,0.8558,0.009754069
11/03/2021,0.7148,0.85655,0.009743588
12/03/2021,0.7183,0.85721,0.009800805
13/03/2021,0.7183908,0.85721,0.009800805
14/03/2021,0.7179,0.85782,0.009793923
15/03/2021,0.71947,0.858,0.009882699
16/03/2021,0.71931,0.8561,0.009862623
17/03/2021,0.71552,0.85739,0.009706368
18/03/2021,0.71813,0.85586,0.009653308
19/03/2021,0.7209286,0.86,0.00970366
20/03/2021,0.7209286,0.86,0.00970366
21/03/2021,0.72293,0.85902,0.009735125
22/03/2021,0.72137,0.86083,0.00963663
23/03/2021,0.72831,0.86229,0.009534708
24/03/2021,0.73052,0.86241,0.009525834
